id_inscripcion;fecha_inscripcion;taller;sede;alumno;dni;arancel;beca_pct;estado;medio_pago
INS-20203;16/05/2026;Costura creativa;Sede Norte;Malena Aguirre;30130349;13.000,00;0;Confirmada;Efectivo
INS-20116;27/04/2026;Huerta orgánica;Sede Norte;Nicolás Herrera;35034726;9.000,00;0;Confirmada;Tarjeta
INS-20017;28/03/2026;Yoga;Sede Sur;Pilar Domínguez;40947743;10.000,00;50;CONFIRMADA;Transferencia
INS-20070;02/04/2026;Serigrafía;Sede Centro;Victoria Rojas;38551512;15.000,00;20;Pendiente;Transferencia
INS-20142;2026-03-29;Cerámica;Sede Centro;Tomás Acosta;36445290;14.000,00;0;Confirmada;Tarjeta
INS-20081;16/05/2026;Yoga;Sede Sur;Delfina Domínguez;31360709;10.000,00;;Confirmada;Transferencia
INS-20204;07/04/2026;Cerámica;Sede Centro;Simón Díaz;38704602;14.000,00;0;CONFIRMADA;Tarjeta
INS-20135;02/06/2026;Cerámica;Sede Centro;Mora Correa;41013749;14.000,00;0;confirmada;Efectivo
INS-20047;15/05/2026;Huerta orgánica;Sede Norte;Victoria Martínez;39232735;9.000,00;30;Confirmada;Efectivo
INS-20282;23/04/2026;Yoga;Sede Sur;Francisco Medina;33476366;10.000,00;0;CONFIRMADA;Tarjeta
INS-20090;10/04/2026;Guitarra;Sede Centro;Dante Ruiz;45409852;12.000,00;30;Confirmada;Tarjeta
INS-20160;02/04/2026;Huerta orgánica;Sede Norte;Mora Rojas;30209029;9.000,00;;Confirmada;Efectivo
INS-20152;29/03/2026;Huerta orgánica;Sede Norte;Franco Silva;34849373;9.000,00;20;Pendiente;Efectivo
INS-20044;2026-05-02;Cerámica;Sede Centro;Ariadna Herrera;40152700;14.000,00;0;confirmada;Transferencia
INS-20250;25/03/2026;Cerámica;Sede Centro;Julieta Díaz;45433519;14.000,00;20;Confirmada;Transferencia
INS-20050;19/04/2026;Fotografía analógica;Sede Norte;Emma Martínez;45928857;16.000,00;20;Pendiente;Tarjeta
INS-20076;04/05/2026;Costura creativa;Sede Norte;Joaquín Herrera;36460047;13.000,00;;CONFIRMADA;Efectivo
INS-20182;28/04/2026;Fotografía analógica;Sede Norte;Sofía Domínguez;30930549;16.000,00;30;Confirmada;Transferencia
INS-20086;2026-03-04;Costura creativa;Sede Norte;Pilar Rodríguez;44406727;13.000,00;0;Confirmada;Tarjeta
INS-20144;21/04/2026;Cerámica;Sede Centro;Lorenzo Ibáñez;30534225;14.000,00;0;Confirmada;Transferencia
INS-20272;20/04/2026;Yoga;Sede Sur;Francisco Núñez;45213827;-10.000,00;0;Confirm.;Transferencia
INS-20140;30/04/2026;Cerámica;Sede Centro;Mora Ruiz;45824518;14.000,00;0;CONFIRMADA;Efectivo
INS-20233;19/03/2026;Cerámica;Sede Centro;Julieta Torres;42287149;14.000,00;;Pendiente;Efectivo
INS-20075;13/04/2026;Yoga;Sede Sur;Gael Ortega;31978325;10.000,00;20;Anulada;Efectivo
INS-20122;08/03/2026;Cerámica;Sede Centro;Agustina Martínez;37351778;14.000,00;0;Confirmada;Efectivo
INS-20041;2026-06-03;Costura creativa;Sede Norte;Felipe Domínguez;43225254;13.000,00;0;confirmada;Tarjeta
INS-20126;20/05/2026;CERÁMICA;Sede Centro;Ignacio Medina;36789254;14.000,00;;CONFIRMADA;Efectivo
INS-20001;14/05/2026;Costura creativa;Sede Norte;Agustina Herrera;32718686;13.000,00;0;Anulada;Tarjeta
INS-20150;06/03/2026;Cerámica;Sede Centro;Abril Vega;30800030;14.000,00;;CONFIRMADA;Efectivo
INS-20232;2026-05-29;Yoga;Sede Sur;Olivia Acosta;37438596;10.000,00;;Anulada;Transferencia
INS-20222;17/05/2026;Costura creativa;Sede Norte;Lorenzo Peralta;32485708;13.000,00;0;Confirmada;Efectivo
INS-20299;15/05/2026;Cerámica;Sede Centro;Dante López;34229368;14.000,00;20;CONFIRMADA;Efectivo
INS-20104;26/04/2026;Yoga;Sede Sur;Dante Fernández;35079889;10.000,00;20;Confirmada;Tarjeta
INS-20009;25/03/2026;Guitarra;Sede Centro;Bautista Gómez;37592070;12.000,00;65;Confirm.;Transferencia
INS-20294;04/05/2026;Yoga;Sede Sur;Catalina Flores;45898295;10.000,00;0;Confirmada;Transferencia
INS-20124;2026-05-23;Cerámica ;Sede Centro;Sofía Vega;44636486;-14.000,00;20;Confirmada;Efectivo
INS-20161;23/04/2026;Cerámica ;Sede Centro;Benjamín Ortega;31466367;14.000,00;0;Confirm.;Tarjeta
INS-20054;10/04/2026;Yoga;Sede Sur;Guadalupe Cabrera;45475084;10.000,00;30;Pendiente;Transferencia
INS-20274;05/04/2026;Serigrafía;Sede Centro;Franco Pérez;43752871;15.000,00;0;Confirmada;Efectivo
INS-20212;24/03/2026;Huerta orgánica;Sede Norte;Zoe Torres;44259317;9.000,00;0;confirmada;Tarjeta
INS-20024;07/04/2026;Cerámica;Sede Centro;Renata Romero;33759940;14.000,00;0;Anulada;Transferencia
INS-20051;15/04/2026;Fotografía analógica;Sede Norte;Milagros Díaz;41777063;16.000,00;;Pendiente;Transferencia
INS-20018;21/05/2026;Yoga;Sede Sur;Ariadna Torres;34940472;10.000,00;0;Confirmada;Transferencia
INS-20263;05/05/2026;Guitarra;Sede Centro;Santino Romero;30603613;12.000,00;30;Confirmada;Efectivo
INS-20242;26/04/2026;Serigrafía;Sede Centro;Agustina Acosta;39572251;15.000,00;50;Confirmada;Efectivo
INS-20085;31/05/2026;Yoga;Sede Sur;Benjamín Romero;34196560;10.000,00;;confirmada;Transferencia
INS-20260;18/05/2026;cerámica;Sede Centro;Nicolás Torres;37522870;14.000,00;0;Confirmada;Efectivo
INS-20156;17/04/2026;Yoga;Sede Sur;Alma Acosta;30300362;10.000,00;50;Pendiente;Transferencia
INS-20057;16/04/2026;Costura creativa;Sede Norte;Mora Ruiz;37225418;13.000,00;0;Confirm.;Efectivo
INS-20262;20/04/2026;Foto analogica;Sede Norte;Nicolás Ortega;39979714;16.000,00;;Pendiente;Efectivo
INS-20201;09/03/2026;Fotografía analógica;Sede Norte;Delfina Domínguez;34382649;16.000,00;0;Confirmada;Transferencia
INS-20075;13/04/2026;Yoga;Sede Sur;Gael Ortega;31978325;10.000,00;20;Anulada;Efectivo
INS-20273;07/05/2026;Guitarra;Sede Centro;Santino Sosa;42049847;12.000,00;0;confirmada;Tarjeta
INS-20064;04/03/2026;Guitarra;Sede Centro;Lucía Herrera;36641050;12.000,00;70;Confirmada;Efectivo
INS-20109;30/04/2026;Guitarra;Sede Centro;Malena Aguirre;30766271;12.000,00;0;Confirmada;Efectivo
INS-20169;16/03/2026;Cerámica;Sede Centro;Catalina Peralta;42779348;14.000,00;0;Confirmada;Efectivo
INS-20302;17/04/2026;Costura creativa;Sede Norte;Ciro Fernández;45837534;13.000,00;20;Confirm.;Efectivo
INS-20121;21/03/2026;Guitarra ;Sede Centro;Guadalupe Correa;30302960;12.000,00;0;Confirmada;Tarjeta
INS-20319;02/06/2026;Costura creativa;Sede Norte;Mora Aguirre;39554793;13.000,00;50;Confirmada;Efectivo
INS-20136;02/04/2026;Serigrafía;Sede Centro;Alma Cabrera;32793572;15.000,00;;CONFIRMADA;Efectivo
INS-20128;27/05/2026;Guitarra;Sede Centro;Abril Rodríguez;34561743;12.000,00;50;Confirm.;Tarjeta
INS-20199;19/04/2026;Yoga;Sede Sur;Malena Ruiz;43038827;-10.000,00;0;Confirm.;Efectivo
INS-20277;05/05/2026;Cerámica;Sede Centro;Ian López;42767345;14.000,00;50;Confirmada;Efectivo
INS-20007;15/05/2026;Costura creativa;Sede Norte;Bruno Correa;38955964;13.000,00;0;Confirmada;Transferencia
INS-20314;11/05/2026;Yoga;Sede Sur;Bautista Rojas;37246815;10.000,00;0;confirmada;Tarjeta
INS-20291;29/03/2026;Yoga;Sede Sur;Alma Cabrera;35350034;10.000,00;30;Confirmada;Transferencia
INS-20228;07/05/2026;Fotografía analógica;Sede Norte;Renata García;35007970;16.000,00;20;Pendiente;Tarjeta
INS-20317;10/04/2026;Costura creativa;Sede Norte;Ignacio Ruiz;40082132;13.000,00;0;Confirmada;Tarjeta
INS-20229;23/05/2026;Cerámica;Sede Centro;Zoe Rojas;43118108;14.000,00;0;Confirmada;Transferencia
INS-20134;14/04/2026;Costura creativa;Sede Norte;Benicio Peralta;43947186;13.000,00;0;confirmada;Efectivo
INS-20305;05/06/2026;Costura creativa;Sede Norte;Antonella Romero;34671701;13.000,00;0;CONFIRMADA;Efectivo
INS-20072;04/06/2026;Yoga;Sede Sur;Nicolás Vega;37147853;10.000,00;0;Confirmada;Tarjeta
INS-20042;24/03/2026;Cerámica;Sede Centro;Antonella Domínguez;38697184;14.000,00;0;Pendiente;Transferencia
INS-20211;29/04/2026;Guitarra;Sede Centro;Gael Ibáñez;41411775;12.000,00;0;confirmada;Efectivo
INS-20287;02/04/2026;Huerta orgánica;Sede Norte;Dante García;33966103;9.000,00;;Confirmada;Transferencia
INS-20060;05/03/2026;Ceramica Avanzada;Sede Centro;Abril Silva;33323459;14.000,00;0;Confirmada;Transferencia
INS-20285;11/03/2026;Huerta orgánica;Sede Norte;Abril Silva;42568945;9.000,00;;Anulada;Tarjeta
INS-20309;31/03/2026;Cerámica;Sede Centro;Milagros Herrera;34513121;14.000,00;20;confirmada;Transferencia
INS-20162;26/04/2026;Serigrafía;Sede Centro;Renata Godoy;32941109;15.000,00;0;Confirmada;Efectivo
INS-20168;18/03/2026;Cerámica;Sede Centro;Victoria Flores;34024955;14.000,00;0;Confirmada;Tarjeta
INS-20118;03/05/2026;Yoga;Sede Sur;Emma Peralta;37577802;10.000,00;20;Confirmada;Efectivo
INS-20256;21/04/2026;Yoga;Sede Sur;Isabella Núñez;37677420;10.000,00;;Confirm.;Transferencia
INS-20225;13/04/2026;YOGA;Sede Sur;Ramiro Romero;34877587;10.000,00;20;Confirmada;Efectivo
INS-20270;2026-05-25;Yoga;Sede Sur;Lucía Correa;42996451;10.000,00;;Pendiente;Tarjeta
INS-20252;25/05/2026;Cerámica;Sede Centro;Santino Gómez;40839564;14.000,00;20;Confirmada;Tarjeta
INS-20255;07/04/2026;Yoga;Sede Sur;Franco Peralta;36411896;10.000,00;;confirmada;Transferencia
INS-20129;27/04/2026;Guitarra;Sede Centro;Santino Ortega;35282689;12.000,00;0;confirmada;Tarjeta
INS-20193;18/04/2026;Serigrafía;Sede Centro;Nicolás Acosta;38654091;15.000,00;0;Pendiente;Efectivo
INS-20151;04/06/2026;Huerta orgánica;Sede Norte;Pilar Díaz;44316963;9.000,00;0;Confirm.;Efectivo
INS-20093;17/05/2026;Fotografía analógica;Sede Norte;Ariadna Herrera;30956613;16.000,00;0;Confirmada;Transferencia
INS-20053;04/06/2026;yoga;Sede Sur;Ignacio Molina;45172744;10.000,00;50;Confirmada;Tarjeta
INS-20025;2026-05-18;Costura creativa;Sede Norte;Sofía Ruiz;42688828;13.000,00;0;confirmada;Transferencia
INS-20278;18/04/2026;Huerta orgánica;Sede Norte;Mateo Ibáñez;35582144;9.000,00;0;Confirmada;Tarjeta
INS-20318;03/06/2026;Guitarra;Sede Centro;Antonella López;42633090;12.000,00;0;Confirm.;Transferencia
INS-20132;2026-05-06;Huerta orgánica;;Alma Castro;38242872;9.000,00;0;Confirmada;Transferencia
INS-20249;21/04/2026;Serigrafía;Sede Centro;Mateo Ibáñez;30931817;15.000,00;20;CONFIRMADA;Transferencia
INS-20258;19/04/2026;Guitarra;Sede Centro;Santino Correa;44441157;12.000,00;30;Confirmada;Efectivo
INS-20059;26/04/2026;Huerta orgánica;Sede Norte;Catalina Ortega;43808894;9.000,00;;Pendiente;Transferencia
INS-20263;2026-05-05;Guitarra;Sede Centro;Santino Romero;30603613;12.000,00;30;Confirmada;Efectivo
INS-20195;21/05/2026;CERÁMICA;Sede Centro;Bruno Pérez;32470884;14.000,00;;Confirmada;Tarjeta
INS-20067;23/04/2026;Guitarra;Sede Centro;Martina Flores;43891247;12.000,00;0;confirmada;Efectivo
INS-20006;21/04/2026;Fotografía analógica;Sede Norte;Lucía Romero;40952591;16.000,00;30;Confirmada;Transferencia
INS-20031;02/05/2026;Ceramica Avanzada;Sede Centro;Emma López;36281731;14.000,00;0;Confirmada;Efectivo
INS-20055;10/04/2026;Costura creativa;Sede Norte;Dante Gómez;41149750;13.000,00;50;Confirm.;Tarjeta
